date,open,high,low,close,volume
2013-01-02,2013.74,2033.66,2012.30,2031.10,364080
2013-01-03,2041.24,2042.48,2018.49,2019.41,491014
2013-01-04,2017.88,2018.63,2001.53,2011.94,378862
2013-01-07,2012.15,2014.00,1996.47,2011.25,536220
2013-01-08,2003.22,2009.99,1997.91,1997.94,493728
2013-01-09,2001.98,2007.72,1989.48,1991.81,607581
2013-01-10,1993.87,2008.47,1988.04,2006.80,500778
2013-01-11,2017.38,2017.92,1984.16,1996.67,472563
2013-01-14,1993.82,2007.04,1989.24,2007.04,454751
2013-01-15,2006.89,2016.37,1983.74,1983.74,546220
2013-01-16,1988.44,1996.46,1970.01,1977.45,457618
2013-01-17,1983.67,1986.34,1964.62,1974.27,828726
2013-01-18,1987.65,1988.47,1976.72,1987.85,583335
2013-01-21,1987.96,1991.98,1972.64,1986.86,446597
2013-01-22,1986.58,1999.35,1981.88,1996.52,553442
2013-01-23,2003.37,2008.06,1980.41,1980.41,491356
2013-01-24,1970.85,1980.03,1960.75,1964.48,558392
2013-01-25,1966.40,1966.83,1934.89,1946.69,401831
2013-01-28,1940.33,1943.49,1930.37,1939.71,349466
2013-01-29,1946.11,1958.88,1944.81,1955.96,465008
2013-01-30,1961.92,1967.29,1950.67,1964.43,523258
2013-01-31,1960.78,1965.92,1954.53,1961.94,399576
2013-02-01,1964.75,1966.54,1942.44,1957.79,385886
2013-02-04,1968.95,1969.13,1952.83,1953.21,345361
2013-02-05,1936.92,1944.00,1928.75,1938.18,366687
2013-02-06,1943.33,1944.44,1935.44,1936.19,349221
2013-02-07,1939.42,1946.67,1931.10,1931.77,412163
2013-02-08,1930.00,1955.86,1929.81,1950.90,291212
2013-02-12,1958.46,1958.65,1943.63,1945.79,307483
2013-02-13,1952.86,1976.07,1950.58,1976.07,331013
2013-02-14,1977.42,1986.14,1972.80,1979.61,336033
2013-02-15,1981.06,1982.76,1976.12,1981.18,598838
2013-02-18,1979.42,1985.41,1973.65,1981.91,420693
2013-02-19,1981.96,1990.09,1979.85,1985.83,344264
2013-02-20,1997.04,2024.64,1995.31,2024.64,407731
2013-02-21,2014.50,2021.24,2010.91,2015.22,391186
2013-02-22,2007.34,2029.44,2006.59,2018.89,409122
2013-02-25,2022.51,2022.77,2008.78,2009.52,338229
2013-02-26,1993.12,2005.86,1991.96,2000.01,433410
2013-02-27,2008.94,2014.96,1999.65,2004.04,417074
2013-02-28,2019.05,2030.85,2016.15,2026.49,421958
2013-03-04,2028.55,2029.32,2011.09,2013.15,357436
2013-03-05,2022.41,2031.65,2016.60,2016.61,491945
2013-03-06,2033.17,2033.89,2016.65,2020.74,395369
2013-03-07,2018.63,2018.63,1998.29,2004.40,386477
2013-03-08,2001.97,2007.37,1994.25,2006.01,312058
2013-03-11,2000.57,2006.30,1982.38,2003.35,398284
2013-03-12,2006.84,2007.44,1990.17,1993.34,390222
2013-03-13,1994.79,1999.73,1988.19,1999.73,353043
2013-03-14,2000.07,2002.13,1978.57,2002.13,330921
2013-03-15,2009.71,2009.71,1985.91,1986.50,307400
2013-03-18,1974.71,1982.92,1968.18,1968.18,304266
2013-03-19,1978.41,1989.46,1973.23,1978.56,326790
2013-03-20,1969.19,1978.17,1959.40,1959.41,332896
2013-03-21,1969.30,1973.26,1950.82,1950.82,262865
2013-03-22,1949.03,1956.33,1946.05,1948.71,259617
2013-03-25,1968.85,1981.75,1968.14,1977.67,276300
